title,angajator,domeniu,tip_job,nivel_job,orase,actualizat_la,remote_work
Lead Electrical Engineer (Design Engineering),Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Automation Developer (Fiber and/or Oil & Gas and/or Maritime Industry) (f-m-d),Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Local Graduate Program – HVDC Commissioning Engineer,Siemens Energy,['Engineering'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
HR Business Partner,Siemens Energy,['Human Resources - Psychology'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Electrical Design Engineer,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
High Voltage Primary Engineer,Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commissioning Engineer for High Voltage Direct Current (HVDC) – Station Power and Primary (SPP),Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
S4 HANA Central Procurement Functional Consultant,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
IT Service Manager,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
IT Service Professional,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
IT Service Professional Reporting,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
High Voltage Technician (Offshore Wind Turbines),Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Plant Process Engineer,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior DevOps Engineer (f/m/d),Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Fixed Assets Analyst,Siemens Energy,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Commercial Project Controller,Siemens Energy,['Accounting - Finance'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Project Controller for Real Estate,Siemens Energy,['Real Estate'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Site Manager Electrical Substations,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Head of IT Project Management Europe based in Romania,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Project & Cost Center Controller,Siemens Energy,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Supplier Quality Engineer Inspector,Siemens Energy,['Quality Control'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commercial Order Process,Siemens Energy,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commercial Project Manager for High-Voltage Equipment,Siemens Energy,['Accounting - Finance'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Service Manager - Cloud & Platform services,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cloud & EDGE Specialist,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
I&C Commissioning Engineer (EC),Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commissioning Technician (Offshore Wind Turbines),Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Analyst General Ledger, Closing & Reporting",Siemens Energy,['Accounting - Finance'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Working Student – SPOT Procurement,Siemens Energy,['Acquisitions - Logistics - Supplies'],full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  On-site
System Administrator for virtualized environments (Hyper-V),Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
IT Business Partner Customs,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Working Student for Finance,Siemens Energy,['Accounting - Finance'],full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  On-site
IT Customs S/4 Expert,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Lead Engineer for Erection & Commissioning,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Process Automation Expert,Siemens Energy,['Accounting - Finance'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior project manager with project/review/audit experience,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Data Analytics Professional - Assurance (Internal Audit),Siemens Energy,"['Internet - eCommerce', 'IT Hardware']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commissioning Engineer for High Voltage Direct Current (HVDC) - Converter Control,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Commissioning Engineer for High Voltage Direct Current (HVDC) – Open Loop Control & AC Protection (OLC),Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Graduate Trainee (Local Program) within Corporate Procurement - Sourcing Process Excellence Enthusiast,Siemens Energy,['Acquisitions - Logistics - Supplies'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
Business Analyst - Continuous Improvement,Siemens Energy,['Quality Control'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Qt / C++ Senior Software Developer,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior IT Business Analyst Cash Management,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Electrical Design Engineer,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Network Architect,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior IT License Manager,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Solution Engineer - Cyber Security,Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Electrical Installation Supervisor for International HVDC Projects,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Electrical Site Engineer,Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Administrator for spare parts Business,Siemens Energy,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Project Risk Manager,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Real Estate/Facility Management Global Senior Commodity Buyer- Indirect Materials,Siemens Energy,['Acquisitions - Logistics - Supplies'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Secondary Engineer,Siemens Energy,['Engineering'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Primary Engineer,Siemens Energy,['Engineering'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Product Cost Analyst,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
IT Project Manager Standard Platforms,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Automation Developer,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Business Information Security Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Analyst, Business Intelligence & Reporting",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Technical Product Manager/Lead Business Analyst,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Reward Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior / Tech Lead Java Developer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
C++/Java software engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Analyst Quality Assurance,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Fullstack Java Developer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior IT Controls Risk Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Software Developer- Capital Markets,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Lead Quality Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Oracle Database Admin -Senior/Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Change & Employee Engagement Specialist,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Engineer, Reliability Engineering",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
D&A BISO Programme Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Developer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Azure Platform Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Principal Cloud Platform Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Weekend Release and Environment Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Quant Analyst (Math Finance),LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Application Developer - Python,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Associate, Business Operations and Management",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Project Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Manager - Cloud Data Platform Engineering,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Data Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Operational Risk Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Project Manager, Infrastructure&Cloud",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Lead Database Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Associate, Portfolio Governance",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Migration Support Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Migration Risk Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Technical Service Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Junior Research Analyst – Portuguese language,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Manager, Internal Comms, Technology",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Technical  Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Research Analyst – Italian language,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Project Manager Platform Engineer (Azure),LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Research Analyst – Portuguese language,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Research Analyst – Nordic languages,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Platform Engineer (Azure),LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Platform Engineer (Azure),LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Platform Engineer (Azure),LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Quant Risk Analyst - Model Validation,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Associate, Communications, Operations",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Java developer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Analyst - Global Share Plans,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior DevNetOps Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior DevNetOps Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Service Manager, Network Products and Services",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Service Continuity Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Lead DevSecOps Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Lead DevSecOps Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Network LAN Services Product Owner / Engineering Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior QA Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior PMO Analyst,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Analyst, Quality Assurance",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Business Workflow Applications (BWA) Support Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Technology Risk Manager – Post Trade Regulatory Reporting,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cyber - Security Operations Fraud Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Senior Engineer, Database Administration",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cloud Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cloud Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cloud Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Cloud Delivery Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Associate, Technical Content Creator",LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Software Engineering Team Lead,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Technical Lead Data Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
S/4 Project Manager for Master Data,Bosch Timisoara,['Customer Support - Client Service'],full-time,Student/Graduate,['Timisoara'],09.04.2024,  On-site
"Working Student in Organizational Assistance, Engineering Center, Cluj",Bosch Romania,['Administrative Assistance'],stagiu de internship,Student/Graduate,['Cluj Napoca'],09.04.2024,  On-site
Working Student - Intercompany,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Senior Controller - Remote job,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Communication Expert - Limited (2 years),Bosch Timisoara,['Administrative Assistance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Controlling Reporting Specialist,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Travel Officer with German - Remote job,Bosch Timisoara,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Working Student in Marketing and Communication, CljP",Bosch Romania,['Administrative Assistance'],full-time,Student/Graduate,['Cluj Napoca'],09.04.2024,  On-site
"Working Student - Technical Field, BljP",Bosch Romania,['Engineering'],part-time,Student/Graduate,['Blaj'],09.04.2024,  On-site
"Working Student - Commercial Field, BljP",Bosch Romania,['Administrative Assistance'],part-time,Student/Graduate,['Blaj'],09.04.2024,  On-site
Product Data Coordinator,Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Order Management Analyst,Bosch Timisoara,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
SAP Warehouse Management Specialist - German,Bosch Timisoara,['Marketing'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Legal Entity Controller - Remote Job,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Packaging Designer, CljP",Bosch Romania,['Production'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"Working Student - Administrative Department, CljP",Bosch Romania,['Engineering'],full-time,Student/Graduate,['Cluj Napoca'],09.04.2024,  On-site
Product Management DIY Tools (Product & Price),Bosch Romania,['Marketing'],full-time,Manager,['BUCHAREST'],09.04.2024,  On-site
Indirect Tax Process Expert for SAP BRIM,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Receivables Management Specialist - Automotive Sector,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Accounts Receivable Accountant with German,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Controller,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Junior Managers Program (Commercial), Timisoara",Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Travel Officer with French - Remote job,Bosch Timisoara,['Customer Support - Client Service'],full-time,Student/Graduate,['Timisoara'],09.04.2024,  On-site
Process Expert Warehousing,Bosch Timisoara,['Others'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Travel & Expense Officer with French,Bosch Timisoara,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Expert Benefits & Taxation - Remote job,Bosch Timisoara,['Engineering'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Working Student in Facility Management Administrative Services, Engineering Center, Cluj",Bosch Romania,['Administrative Assistance'],full-time,Student/Graduate,['Cluj Napoca'],09.04.2024,  On-site
"Physical Analysis Technician, CljP",Bosch Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
"Logistics Procurement Planner, CljP",Bosch Romania,['Acquisitions - Logistics - Supplies'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Devops Engineer,Bosch Timisoara,['IT Software'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Team Leader - Master Data,Bosch Timisoara,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
"Working Student - Support for Process Activities, BljP",Bosch Romania,['Production'],part-time,Student/Graduate,['Blaj'],09.04.2024,  On-site
"Mechanical Design Engineer for ECU Development, Engineering Center, Cluj",Bosch Romania,['Architecture - Design'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
"Industrial Engineer, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
".Net/C# Developer, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Working Student - Cash&Bank,Bosch Timisoara,['Accounting - Finance'],full-time,Student/Graduate,['Timisoara'],09.04.2024,  On-site
"Customer Quality Engineer, CljP",Bosch Romania,['Quality Control'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Demand Manager,Bosch Timisoara,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Travel & Expense Officer,Bosch Timisoara,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  On-site
Virtualization Backup Engineer (Weekend Shift),Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Virtualization Backup Engineer (German Speaker),Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Virtualization Backup Engineer (French Speaker),Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
System Administrator,Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Site Reliability Engineer,Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Sales Discovery Accelerator (Early Career Only),Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Sales Development Representative with Spanish (entry level),Veeam Software,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
